Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
TORNTPHARM,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,8.4727,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TORNTPHARM,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,8.4727,SUCCESS,9.34,8.13,2002-01-16,2002-01-20,3.0,9.19,2002-01-18,8.63,2002-01-18,8.47,1.86,6.61,9.08,7.17,8.94,5.52
TORNTPHARM,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,14.4073,SUCCESS,16.56,13.25,2002-04-12,2002-07-20,70.0,15.87,2002-04-12,10.0,2002-05-27,10.15,-30.59,40.74,15.55,7.93,11.78,-18.24
TORNTPHARM,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,11.332,SUCCESS,11.63,9.06,2002-10-12,2003-01-20,67.0,15.0,2003-01-13,10.63,2002-10-24,32.37,-6.19,38.56,14.62,29.02,11.13,-1.78
TORNTPHARM,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,10.466,SUCCESS,11.25,9.78,2003-04-09,2003-07-20,70.0,18.44,2003-07-02,9.69,2003-04-28,76.19,-7.41,83.6,17.2,64.34,9.83,-6.08
TORNTPHARM,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,24.4273,SUCCESS,26.38,22.5,2003-10-14,2004-01-20,71.0,27.16,2003-12-18,19.38,2003-10-29,11.19,-20.66,31.85,26.67,9.18,19.84,-18.78
TORNTPHARM,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,20.738,SUCCESS,22.56,19.44,2004-04-13,2004-07-20,70.0,25.94,2004-05-05,17.19,2004-05-17,25.08,-17.11,42.19,23.33,12.5,18.33,-11.61
TORNTPHARM,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,27.9847,SUCCESS,29.88,26.31,2004-10-09,2005-01-20,71.0,37.44,2004-12-21,27.72,2004-10-14,33.79,-0.95,34.73,36.78,31.43,28.09,0.38
TORNTPHARM,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,27.676,SUCCESS,28.75,25.45,2005-04-12,2005-07-20,72.0,35.25,2005-07-20,26.64,2005-05-23,27.37,-3.74,31.11,34.2,23.57,27.28,-1.43
TORNTPHARM,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,37.666,SUCCESS,41.25,35.63,2005-10-11,2006-01-20,70.0,58.13,2005-12-15,35.13,2005-10-18,54.33,-6.73,61.06,54.92,45.81,36.51,-3.07
TORNTPHARM,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,53.1827,SUCCESS,63.75,47.9,2006-04-11,2006-07-20,72.0,74.5,2006-05-15,39.05,2006-07-19,40.08,-26.57,66.66,70.61,32.77,39.66,-25.43
TORNTPHARM,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,45.5713,SUCCESS,48.0,44.23,2006-10-12,2007-01-20,69.0,56.23,2006-12-04,40.25,2006-11-22,23.39,-11.68,35.07,54.21,18.96,45.68,0.24
TORNTPHARM,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,49.5147,SUCCESS,52.5,47.5,2007-04-12,2007-07-20,45.0,67.25,2007-05-31,45.0,2007-05-25,35.82,-9.12,44.94,65.29,31.86,48.1,-2.86
TORNTPHARM,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,34.2087,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TORNTPHARM,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,34.2087,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TORNTPHARM,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,34.2087,SUCCESS,39.5,30.25,2009-01-17,2009-01-20,2.0,37.0,2009-01-19,34.53,2009-01-20,8.16,0.94,7.22,35.29,3.16,34.76,1.61
