Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
TREEHOUSE,2011,20-March,2011-03-20,2011-08-26,2011-08-26,2011-09-19,15.0,127.3267,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TREEHOUSE,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,166.0867,SUCCESS,183.75,135.6,2011-10-12,2012-01-20,70.0,230.2,2012-01-19,140.1,2011-12-20,38.6,-15.65,54.25,216.9,30.59,142.8,-14.02
TREEHOUSE,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,204.21,SUCCESS,214.8,196.0,2012-04-12,2012-07-20,72.0,235.85,2012-07-02,186.0,2012-06-15,15.49,-8.92,24.41,229.15,12.21,194.2,-4.9
TREEHOUSE,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,228.94,SUCCESS,244.0,216.5,2012-10-12,2013-01-20,67.0,295.0,2013-01-08,207.1,2012-10-18,28.85,-9.54,38.39,287.55,25.6,209.05,-8.69
TREEHOUSE,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,241.6733,SUCCESS,266.95,223.2,2013-04-12,2013-07-20,69.0,300.05,2013-07-18,232.0,2013-06-24,24.16,-4.0,28.16,294.1,21.69,239.9,-0.73
TREEHOUSE,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,249.66,SUCCESS,268.4,231.1,2013-10-12,2014-01-20,68.0,298.0,2013-11-01,231.5,2013-10-28,19.36,-7.27,26.64,261.0,4.54,234.25,-6.17
TREEHOUSE,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,258.52,SUCCESS,292.0,214.0,2014-04-10,2014-07-20,44.0,379.95,2014-06-05,275.5,2014-04-16,46.97,6.57,40.4,368.55,42.56,278.3,7.65
TREEHOUSE,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,163.36,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TREEHOUSE,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,163.36,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TREEHOUSE,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,163.36,SUCCESS,192.05,131.35,2016-01-16,2016-01-20,3.0,134.0,2016-01-18,120.6,2016-01-20,-17.97,-26.18,8.2,132.0,-19.2,125.95,-22.9
TREEHOUSE,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,76.8733,SUCCESS,82.9,72.5,2016-04-13,2016-07-20,67.0,85.3,2016-04-22,38.1,2016-07-20,10.96,-50.44,61.4,83.2,8.23,38.55,-49.85
TREEHOUSE,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,32.2333,SUCCESS,35.45,28.95,2016-10-11,2017-01-20,71.0,37.3,2016-12-01,15.15,2016-12-28,15.72,-53.0,68.72,35.85,11.22,15.85,-50.83
TREEHOUSE,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,19.3567,SUCCESS,21.1,18.2,2017-04-11,2017-07-20,70.0,20.7,2017-07-07,14.25,2017-05-24,6.94,-26.38,33.32,19.95,3.07,14.35,-25.87
TREEHOUSE,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,14.0,SUCCESS,15.4,13.05,2017-10-12,2018-01-20,70.0,18.7,2017-12-01,12.0,2017-11-16,33.57,-14.29,47.86,17.15,22.5,12.25,-12.5
TREEHOUSE,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,9.76,SUCCESS,11.0,8.9,2018-04-12,2018-07-20,71.0,11.6,2018-06-25,6.3,2018-06-08,18.85,-35.45,54.3,10.75,10.14,6.55,-32.89
TREEHOUSE,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,4.91,SUCCESS,6.15,3.8,2018-10-13,2019-01-20,66.0,6.9,2018-11-05,3.55,2018-10-16,40.53,-27.7,68.23,6.6,34.42,3.7,-24.64
TREEHOUSE,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,5.2633,SUCCESS,5.7,4.8,2019-04-11,2019-07-20,67.0,5.55,2019-07-17,4.25,2019-06-21,5.45,-19.25,24.7,5.35,1.65,4.45,-15.45
TREEHOUSE,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,5.8767,SUCCESS,6.45,5.55,2019-10-15,2020-01-20,67.0,6.25,2019-10-16,4.65,2019-12-23,6.35,-20.87,27.23,6.2,5.5,4.75,-19.17
TREEHOUSE,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,3.4,SUCCESS,4.25,2.75,2020-04-16,2020-07-20,66.0,5.35,2020-04-24,3.7,2020-05-27,57.35,8.82,48.53,5.15,51.47,3.8,11.76
TREEHOUSE,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,6.96,SUCCESS,7.9,6.25,2020-10-13,2021-01-20,69.0,8.6,2021-01-20,5.55,2020-12-03,23.56,-20.26,43.82,8.4,20.69,5.75,-17.39
TREEHOUSE,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,7.99,SUCCESS,9.25,6.75,2021-04-14,2021-07-20,66.0,13.75,2021-07-07,7.6,2021-05-25,72.09,-4.88,76.97,13.1,63.95,7.8,-2.38
TREEHOUSE,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,8.8633,SUCCESS,9.6,8.5,2021-10-09,2022-01-20,71.0,13.35,2022-01-18,7.7,2021-12-02,50.62,-13.13,63.75,12.9,45.54,7.95,-10.3
TREEHOUSE,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,8.3133,SUCCESS,9.85,7.35,2022-04-09,2022-07-20,70.0,20.6,2022-06-16,7.45,2022-05-11,147.79,-10.38,158.18,19.65,136.37,7.75,-6.78
TREEHOUSE,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,14.2433,SUCCESS,17.0,12.35,2022-10-12,2023-01-20,71.0,26.05,2022-11-04,14.1,2022-10-12,82.89,-1.01,83.9,24.85,74.47,15.2,6.72
TREEHOUSE,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,14.7933,SUCCESS,17.0,13.55,2023-04-13,2023-07-20,68.0,20.25,2023-05-11,15.45,2023-07-10,36.89,4.44,32.45,19.5,31.82,15.65,5.79
TREEHOUSE,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,17.9233,SUCCESS,22.5,16.0,2023-10-12,2024-01-20,70.0,27.15,2024-01-10,18.1,2023-12-08,51.48,0.99,50.49,26.3,46.74,18.35,2.38
TREEHOUSE,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,23.11,SUCCESS,25.4,20.9,2024-04-16,2024-07-20,65.0,30.0,2024-07-05,18.05,2024-05-13,29.81,-21.9,51.71,28.57,23.63,18.85,-18.43
TREEHOUSE,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,18.204,SUCCESS,19.98,15.7,2024-10-12,2025-01-20,67.0,21.26,2024-12-10,15.09,2024-11-27,16.79,-17.11,33.89,20.25,11.24,15.2,-16.5
TREEHOUSE,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,10.1467,SUCCESS,11.85,8.76,2025-04-12,2025-07-20,67.0,10.44,2025-04-16,7.2,2025-07-16,2.89,-29.04,31.93,10.07,-0.76,7.34,-27.66
TREEHOUSE,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,7.676,SUCCESS,8.32,7.24,2025-10-14,2026-01-20,67.0,10.0,2026-01-14,6.6,2025-10-14,30.28,-14.02,44.29,9.14,19.07,7.17,-6.59
TREEHOUSE,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,8.082,SUCCESS,9.24,7.16,2026-04-16,2026-07-20,65.0,8.6,2026-04-16,5.52,2026-07-20,6.41,-31.7,38.11,8.34,3.19,6.08,-24.77
TREEHOUSE,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
