Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
TTML,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,6.8933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TTML,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,6.8933,SUCCESS,7.46,6.62,2002-01-16,2002-01-20,3.0,6.93,2002-01-16,6.49,2002-01-16,0.53,-5.85,6.38,6.62,-3.97,6.57,-4.69
TTML,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,6.0633,SUCCESS,6.93,5.82,2002-04-12,2002-07-20,70.0,7.85,2002-06-26,5.07,2002-05-21,29.47,-16.38,45.85,7.28,20.07,5.25,-13.41
TTML,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,5.5473,SUCCESS,5.91,5.21,2002-10-12,2003-01-20,67.0,6.04,2002-12-11,4.81,2002-10-25,8.88,-13.29,22.17,5.91,6.54,4.85,-12.57
TTML,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,4.1673,SUCCESS,4.68,3.75,2003-04-09,2003-07-20,70.0,9.0,2003-07-08,4.01,2003-05-26,115.97,-3.78,119.74,8.82,111.65,4.19,0.54
TTML,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,11.57,SUCCESS,13.01,10.37,2003-10-14,2004-01-20,71.0,22.41,2004-01-02,9.93,2003-10-23,93.69,-14.17,107.87,21.09,82.28,10.28,-11.15
TTML,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,14.5707,SUCCESS,16.94,12.35,2004-04-13,2004-07-20,70.0,21.49,2004-05-13,14.87,2004-05-17,47.49,2.05,45.43,20.56,41.11,15.49,6.31
TTML,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,16.1527,SUCCESS,16.94,15.79,2004-10-09,2005-01-20,71.0,32.96,2005-01-04,15.04,2004-11-10,104.05,-6.89,110.94,31.59,95.57,15.13,-6.33
TTML,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,23.242,SUCCESS,26.38,20.87,2005-04-12,2005-07-20,72.0,29.91,2005-07-20,21.84,2005-05-03,28.69,-6.03,34.72,28.54,22.79,21.88,-5.86
TTML,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,26.896,SUCCESS,29.47,25.15,2005-10-11,2006-01-20,70.0,27.0,2005-12-21,23.25,2006-01-18,0.39,-13.56,13.94,26.6,-1.1,23.34,-13.22
TTML,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,20.7473,SUCCESS,22.41,19.24,2006-04-11,2006-07-20,72.0,25.15,2006-05-11,13.59,2006-06-08,21.22,-34.5,55.72,23.74,14.42,14.07,-32.18
