Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
UNIDT,2020,20-March,2020-03-20,2020-09-25,2020-09-25,2020-10-16,15.0,258.01,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
UNIDT,2020,20-September,2020-09-20,2020-09-25,2020-09-25,2020-10-16,15.0,258.01,SUCCESS,294.45,234.25,2020-10-17,2021-01-20,65.0,338.7,2021-01-11,239.0,2020-11-04,31.27,-7.37,38.64,326.05,26.37,241.2,-6.52
UNIDT,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,294.8,SUCCESS,369.0,242.6,2021-04-14,2021-07-20,66.0,410.3,2021-06-10,270.35,2021-05-07,39.18,-8.29,47.47,368.15,24.88,282.95,-4.02
UNIDT,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,339.8067,SUCCESS,352.95,315.3,2021-10-09,2022-01-20,71.0,604.85,2022-01-17,333.1,2021-10-11,78.0,-1.97,79.97,584.9,72.13,342.0,0.65
UNIDT,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,507.2233,SUCCESS,568.8,481.35,2022-04-09,2022-07-20,69.0,578.0,2022-04-21,373.0,2022-05-19,13.95,-26.46,40.42,570.5,12.48,376.85,-25.7
UNIDT,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,327.0633,SUCCESS,366.8,283.75,2022-10-12,2023-01-20,71.0,324.8,2022-10-12,233.9,2023-01-19,-0.69,-28.48,27.79,318.0,-2.77,235.3,-28.06
UNIDT,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,209.58,SUCCESS,236.9,190.55,2023-04-13,2023-07-20,68.0,248.0,2023-04-18,168.35,2023-06-09,18.33,-19.67,38.0,243.35,16.11,187.65,-10.46
UNIDT,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,240.5067,SUCCESS,267.9,219.3,2023-10-12,2024-01-20,70.0,309.9,2024-01-12,196.0,2023-10-26,28.85,-18.51,47.36,298.8,24.24,203.0,-15.59
UNIDT,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,236.8867,SUCCESS,252.0,218.6,2024-04-13,2024-07-20,66.0,295.0,2024-04-25,195.0,2024-06-05,24.53,-17.68,42.21,282.9,19.42,205.65,-13.19
UNIDT,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,243.7567,SUCCESS,259.4,227.55,2024-10-12,2025-01-20,68.0,294.9,2024-12-12,225.25,2024-10-22,20.98,-7.59,28.57,282.95,16.08,226.85,-6.94
UNIDT,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,214.7787,SUCCESS,235.0,185.28,2025-04-12,2025-07-20,67.0,256.3,2025-06-17,184.46,2025-06-09,19.33,-14.12,33.45,243.99,13.6,185.8,-13.49
UNIDT,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,197.1947,SUCCESS,207.99,185.95,2025-10-14,2026-01-20,67.0,213.98,2025-12-15,188.1,2025-10-15,8.51,-4.61,13.12,208.91,5.94,189.99,-3.65
UNIDT,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,176.442,SUCCESS,214.0,146.0,2026-04-16,2026-07-20,65.0,254.97,2026-06-04,200.0,2026-04-16,44.51,13.35,31.15,250.22,41.81,201.49,14.2
UNIDT,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
