Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
UNIPARTS,2022,20-March,2022-03-20,2022-12-12,2022-12-12,2022-12-30,15.0,563.1333,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
UNIPARTS,2022,20-September,2022-09-20,2022-12-12,2022-12-12,2022-12-30,15.0,563.1333,SUCCESS,593.75,530.05,2022-12-31,2023-01-20,15.0,585.0,2023-01-02,541.6,2023-01-06,3.88,-3.82,7.71,573.8,1.89,546.0,-3.04
UNIPARTS,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,523.5467,SUCCESS,550.0,501.15,2023-04-13,2023-07-20,68.0,660.9,2023-07-17,509.55,2023-04-13,26.24,-2.67,28.91,647.9,23.75,515.05,-1.62
UNIPARTS,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,575.2867,SUCCESS,609.7,557.55,2023-10-12,2024-01-20,70.0,612.0,2024-01-15,520.05,2023-12-21,6.38,-9.6,15.98,602.75,4.77,532.45,-7.45
UNIPARTS,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,547.5167,SUCCESS,575.0,520.0,2024-04-13,2024-07-20,66.0,569.5,2024-04-30,454.0,2024-06-04,4.02,-17.08,21.1,558.1,1.93,474.1,-13.41
UNIPARTS,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,470.2,SUCCESS,491.0,446.65,2024-10-12,2025-01-20,68.0,471.2,2024-10-16,380.05,2025-01-17,0.21,-19.17,19.39,461.55,-1.84,381.45,-18.87
UNIPARTS,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,317.4467,SUCCESS,331.9,296.65,2025-04-12,2025-07-20,67.0,420.0,2025-07-04,310.4,2025-05-09,32.31,-2.22,34.53,415.8,30.98,314.8,-0.83
UNIPARTS,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,430.1533,SUCCESS,496.0,400.0,2025-10-14,2026-01-20,67.0,543.95,2025-10-16,404.4,2026-01-20,26.45,-5.99,32.44,539.6,25.44,410.2,-4.64
UNIPARTS,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,476.87,SUCCESS,517.8,433.05,2026-04-16,2026-07-20,65.0,722.7,2026-07-13,492.0,2026-04-24,51.55,3.17,48.38,704.95,47.83,499.05,4.65
UNIPARTS,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
