Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
UNITDSPR,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,11.3467,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
UNITDSPR,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,11.3467,SUCCESS,12.82,9.6,2002-01-16,2002-01-20,3.0,13.86,2002-01-18,11.22,2002-01-17,22.15,-1.12,23.27,13.37,17.83,11.52,1.53
UNITDSPR,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,10.5313,SUCCESS,12.15,9.98,2002-04-12,2002-07-20,70.0,12.9,2002-07-08,8.2,2002-05-22,22.49,-22.14,44.63,12.48,18.5,8.46,-19.67
UNITDSPR,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,8.5913,SUCCESS,8.99,8.36,2002-10-12,2003-01-20,67.0,10.0,2002-12-27,7.0,2002-10-28,16.4,-18.52,34.92,9.02,4.99,7.22,-15.96
UNITDSPR,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,6.9393,SUCCESS,7.46,6.65,2003-04-09,2003-07-20,70.0,11.28,2003-07-02,6.9,2003-04-11,62.55,-0.57,63.12,10.89,56.93,7.07,1.88
UNITDSPR,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,9.4047,SUCCESS,10.5,8.8,2003-10-14,2004-01-20,71.0,15.0,2003-12-30,8.96,2003-10-23,59.5,-4.73,64.22,14.7,56.31,9.04,-3.88
UNITDSPR,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,10.99,SUCCESS,11.94,10.39,2004-04-13,2004-07-20,70.0,12.98,2004-04-19,8.2,2004-05-17,18.11,-25.39,43.49,12.82,16.65,8.55,-22.2
UNITDSPR,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,14.0067,SUCCESS,14.66,13.67,2004-10-09,2005-01-20,71.0,30.2,2004-12-20,12.65,2004-10-25,115.61,-9.69,125.3,28.41,102.83,12.68,-9.47
UNITDSPR,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,50.768,SUCCESS,60.04,42.04,2005-04-12,2005-07-20,72.0,68.0,2005-07-18,53.11,2005-05-02,33.94,4.61,29.33,66.06,30.12,54.83,8.0
UNITDSPR,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,93.2793,SUCCESS,102.05,76.02,2005-10-11,2006-01-20,70.0,107.2,2006-01-04,74.0,2005-10-31,14.92,-20.67,35.59,105.79,13.41,83.82,-10.14
UNITDSPR,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,150.054,SUCCESS,179.34,118.0,2006-04-11,2006-07-20,72.0,171.0,2006-04-12,72.64,2006-06-15,13.96,-51.59,65.55,158.94,5.92,75.99,-49.36
UNITDSPR,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,127.3807,SUCCESS,136.8,120.88,2006-10-12,2007-01-20,69.0,182.9,2006-12-20,106.93,2006-10-17,43.59,-16.05,59.64,176.43,38.51,125.53,-1.45
UNITDSPR,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,165.696,SUCCESS,174.96,157.27,2007-04-12,2007-07-20,45.0,266.0,2007-06-01,163.4,2007-04-30,60.53,-1.39,61.92,252.84,52.59,165.6,-0.06
UNITDSPR,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,172.208,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
UNITDSPR,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,172.208,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
UNITDSPR,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,172.208,SUCCESS,203.0,142.4,2009-01-17,2009-01-20,2.0,149.54,2009-01-20,138.4,2009-01-19,-13.16,-19.63,6.47,146.79,-14.76,143.17,-16.86
UNITDSPR,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,135.5467,SUCCESS,154.8,126.0,2009-04-16,2009-07-20,66.0,200.99,2009-06-03,127.72,2009-05-11,48.28,-5.77,54.06,196.09,44.67,130.01,-4.08
UNITDSPR,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,183.6627,SUCCESS,199.78,177.42,2009-10-16,2010-01-20,65.0,283.4,2009-12-03,181.11,2009-10-27,54.3,-1.39,55.69,280.69,52.83,200.01,8.9
UNITDSPR,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,267.9293,SUCCESS,280.0,261.43,2010-04-14,2010-07-20,69.0,284.0,2010-07-20,211.4,2010-05-26,6.0,-21.1,27.1,281.65,5.12,219.44,-18.1
UNITDSPR,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,320.248,SUCCESS,337.64,308.4,2010-10-09,2011-01-20,72.0,328.0,2011-01-05,244.4,2010-11-26,2.42,-23.68,26.1,321.88,0.51,253.95,-20.7
UNITDSPR,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,210.928,SUCCESS,223.94,201.61,2011-04-09,2011-07-20,70.0,232.44,2011-05-17,174.31,2011-06-24,10.2,-17.36,27.56,221.56,5.04,183.75,-12.88
UNITDSPR,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,158.8773,SUCCESS,169.6,148.0,2011-10-12,2012-01-20,70.0,186.99,2011-10-13,95.54,2012-01-02,17.69,-39.87,57.56,182.89,15.11,98.38,-38.08
UNITDSPR,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,123.0267,SUCCESS,146.95,104.7,2012-04-12,2012-07-20,72.0,165.4,2012-07-20,101.0,2012-06-06,34.44,-17.9,52.35,163.58,32.96,112.74,-8.36
UNITDSPR,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,236.7527,SUCCESS,261.92,187.0,2012-10-12,2013-01-20,67.0,430.0,2012-11-29,197.82,2012-10-29,81.62,-16.44,98.07,414.69,75.16,219.0,-7.5
UNITDSPR,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,369.4293,SUCCESS,388.6,341.54,2013-04-12,2013-07-20,69.0,562.0,2013-07-18,370.22,2013-04-12,52.13,0.21,51.91,560.07,51.6,384.78,4.16
UNITDSPR,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,500.94,SUCCESS,535.35,481.01,2013-10-12,2014-01-20,68.0,563.0,2014-01-10,463.01,2013-11-12,12.39,-7.57,19.96,557.58,11.31,466.8,-6.82
UNITDSPR,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,529.3267,SUCCESS,546.19,512.0,2014-04-10,2014-07-20,44.0,588.16,2014-04-15,506.64,2014-04-11,11.11,-4.29,15.4,574.36,8.51,511.45,-3.38
UNITDSPR,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,576.2507,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
UNITDSPR,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,576.2507,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
UNITDSPR,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,576.2507,SUCCESS,619.0,533.12,2016-01-16,2016-01-20,3.0,565.86,2016-01-20,509.99,2016-01-18,-1.8,-11.5,9.7,547.75,-4.95,518.05,-10.1
UNITDSPR,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,496.4427,SUCCESS,529.99,446.0,2016-04-13,2016-07-20,67.0,545.8,2016-05-13,464.6,2016-04-29,9.94,-6.41,16.36,538.65,8.5,468.67,-5.59
UNITDSPR,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,478.1887,SUCCESS,520.0,450.01,2016-10-11,2017-01-20,71.0,501.76,2016-10-13,354.69,2016-11-22,4.93,-25.83,30.76,490.8,2.64,357.66,-25.21
UNITDSPR,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,425.3747,SUCCESS,447.76,374.36,2017-04-11,2017-07-20,70.0,554.8,2017-07-19,366.07,2017-04-18,30.43,-13.94,44.37,551.05,29.54,370.2,-12.97
UNITDSPR,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,486.7907,SUCCESS,538.0,468.01,2017-10-12,2018-01-20,70.0,801.03,2018-01-05,480.56,2017-10-16,64.55,-1.28,65.83,790.65,62.42,483.85,-0.6
UNITDSPR,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,640.8467,SUCCESS,694.98,599.2,2018-04-12,2018-07-20,71.0,731.44,2018-05-02,548.0,2018-07-19,14.14,-14.49,28.62,724.44,13.04,557.4,-13.02
UNITDSPR,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,503.27,SUCCESS,561.75,438.2,2018-10-13,2019-01-20,66.0,676.6,2018-12-03,499.05,2018-10-23,34.44,-0.84,35.28,672.4,33.61,509.3,1.2
UNITDSPR,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,545.93,SUCCESS,577.0,527.0,2019-04-11,2019-07-20,67.0,609.5,2019-07-18,511.25,2019-06-19,11.64,-6.35,18.0,601.85,10.24,520.2,-4.71
UNITDSPR,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,635.7833,SUCCESS,674.0,596.25,2019-10-15,2020-01-20,67.0,649.95,2019-11-07,557.5,2020-01-08,2.23,-12.31,14.54,648.7,2.03,564.3,-11.24
UNITDSPR,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,496.0567,SUCCESS,580.5,442.65,2020-04-16,2020-07-20,66.0,645.0,2020-07-13,478.5,2020-05-06,30.03,-3.54,33.56,636.1,28.23,493.2,-0.58
UNITDSPR,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,519.17,SUCCESS,545.0,494.0,2020-10-13,2021-01-20,69.0,661.65,2021-01-12,500.1,2020-11-02,27.44,-3.67,31.12,643.25,23.9,503.95,-2.93
UNITDSPR,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,544.2533,SUCCESS,561.9,508.1,2021-04-14,2021-07-20,66.0,684.0,2021-06-23,507.5,2021-04-19,25.68,-6.75,32.43,675.15,24.05,517.95,-4.83
UNITDSPR,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,836.6033,SUCCESS,925.5,728.5,2021-10-09,2022-01-20,71.0,1019.95,2021-11-09,811.2,2021-10-25,21.92,-3.04,24.95,1004.5,20.07,826.3,-1.23
UNITDSPR,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,899.2933,SUCCESS,944.0,858.0,2022-04-09,2022-07-20,70.0,917.6,2022-04-11,712.0,2022-06-17,2.04,-20.83,22.86,910.4,1.24,732.25,-18.57
UNITDSPR,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,855.18,SUCCESS,892.45,808.0,2022-10-12,2023-01-20,71.0,951.8,2022-12-09,802.0,2022-10-12,11.3,-6.22,17.52,941.85,10.13,820.6,-4.04
UNITDSPR,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,757.3233,SUCCESS,787.45,735.9,2023-04-13,2023-07-20,68.0,982.5,2023-07-18,754.25,2023-04-21,29.73,-0.41,30.14,976.5,28.94,757.65,0.04
