Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
UNIVCABLES,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-24,15.0,6.746,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
UNIVCABLES,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-24,15.0,6.746,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
UNIVCABLES,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-12,15.0,6.238,SUCCESS,6.93,5.62,2002-04-13,2002-07-20,68.0,14.22,2002-07-01,5.4,2002-06-03,127.96,-13.43,141.39,12.46,99.74,6.16,-1.25
UNIVCABLES,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-14,15.0,6.772,SUCCESS,8.1,5.62,2002-10-15,2003-01-20,60.0,9.9,2002-11-07,4.99,2002-11-12,46.19,-26.31,72.5,8.28,22.27,5.67,-16.27
UNIVCABLES,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-23,15.0,5.1133,SUCCESS,6.16,3.78,2003-04-24,2003-07-20,58.0,16.33,2003-07-09,4.77,2003-04-30,219.36,-6.71,226.08,15.84,209.78,4.81,-5.93
UNIVCABLES,2003,20-September,2003-09-20,2003-09-29,2003-09-29,2003-12-08,15.0,16.726,SUCCESS,21.06,14.4,2003-12-09,2004-01-20,30.0,32.35,2003-12-30,21.6,2003-12-15,93.41,29.14,64.27,29.43,75.95,21.6,29.14
UNIVCABLES,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-13,15.0,13.9473,SUCCESS,16.65,10.93,2004-04-14,2004-07-20,69.0,19.66,2004-05-13,11.79,2004-07-09,40.96,-15.47,56.43,19.17,37.45,12.6,-9.66
UNIVCABLES,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,29.8893,SUCCESS,40.27,16.2,2004-10-09,2005-01-20,71.0,38.52,2004-11-02,27.94,2004-10-28,28.88,-6.52,35.4,36.81,23.15,28.08,-6.05
UNIVCABLES,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,38.1933,SUCCESS,43.65,33.93,2005-04-12,2005-07-20,72.0,101.07,2005-07-20,37.35,2005-05-04,164.63,-2.21,166.84,101.07,164.63,39.1,2.37
UNIVCABLES,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,115.43,SUCCESS,128.7,105.48,2005-10-11,2006-01-20,70.0,122.4,2005-12-12,94.5,2005-10-20,6.04,-18.13,24.17,120.6,4.48,95.85,-16.96
UNIVCABLES,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,110.972,SUCCESS,118.98,107.73,2006-04-11,2006-07-20,72.0,124.2,2006-04-12,54.76,2006-06-08,11.92,-50.65,62.57,117.49,5.87,58.59,-47.2
UNIVCABLES,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,97.2667,SUCCESS,112.05,86.85,2006-10-12,2007-01-20,69.0,113.13,2007-01-04,77.4,2006-12-12,16.31,-20.42,36.73,107.5,10.52,87.07,-10.48
