Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
UTTAMSUGAR,2006,20-March,2006-03-20,2006-04-10,2006-04-10,2006-05-02,15.0,423.1067,SUCCESS,477.7,355.6,2006-05-03,2006-07-20,58.0,494.4,2006-05-08,151.1,2006-07-19,16.85,-64.29,81.14,480.6,13.59,153.2,-63.79
UTTAMSUGAR,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,186.83,SUCCESS,202.8,176.4,2006-10-12,2007-01-20,69.0,201.75,2006-10-19,120.0,2006-12-12,7.99,-35.77,43.76,198.05,6.01,124.15,-33.55
UTTAMSUGAR,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,113.36,SUCCESS,146.7,96.5,2007-04-12,2007-07-20,45.0,131.0,2007-04-12,98.8,2007-05-10,15.56,-12.84,28.41,122.75,8.28,100.1,-11.7
UTTAMSUGAR,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,31.7933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
UTTAMSUGAR,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,31.7933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
UTTAMSUGAR,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,31.7933,SUCCESS,36.5,28.0,2009-01-17,2009-01-20,2.0,30.85,2009-01-19,29.0,2009-01-19,-2.97,-8.79,5.82,29.7,-6.58,29.35,-7.69
UTTAMSUGAR,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,26.5567,SUCCESS,35.3,22.6,2009-04-16,2009-07-20,65.0,56.6,2009-06-08,31.25,2009-04-24,113.13,17.67,95.46,54.0,103.34,32.4,22.0
UTTAMSUGAR,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,64.93,SUCCESS,68.5,61.65,2009-10-16,2010-01-20,65.0,85.85,2010-01-08,53.65,2009-11-04,32.22,-17.37,49.59,81.85,26.06,54.4,-16.22
UTTAMSUGAR,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,49.3667,SUCCESS,53.25,46.0,2010-04-14,2010-07-20,69.0,72.9,2010-05-12,42.0,2010-05-26,47.67,-14.92,62.59,71.1,44.02,43.2,-12.49
UTTAMSUGAR,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,53.77,SUCCESS,57.0,50.5,2010-10-09,2011-01-20,72.0,61.2,2010-10-25,38.6,2011-01-11,13.82,-28.21,42.03,58.1,8.05,44.15,-17.89
UTTAMSUGAR,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,39.9767,SUCCESS,44.0,36.0,2011-04-09,2011-07-20,70.0,43.9,2011-04-11,32.1,2011-05-25,9.81,-19.7,29.52,42.25,5.69,32.7,-18.2
UTTAMSUGAR,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,29.5833,SUCCESS,31.4,27.6,2011-10-12,2012-01-20,70.0,34.0,2011-10-24,20.75,2011-12-20,14.93,-29.86,44.79,32.55,10.03,21.0,-29.01
UTTAMSUGAR,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,24.0667,SUCCESS,27.0,23.0,2012-04-12,2012-07-20,72.0,32.6,2012-07-10,18.8,2012-05-18,35.46,-21.88,57.34,31.7,31.72,19.7,-18.14
UTTAMSUGAR,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,24.25,SUCCESS,26.9,22.45,2012-10-12,2013-01-20,67.0,26.4,2012-10-15,18.0,2012-12-14,8.87,-25.77,34.64,25.65,5.77,20.6,-15.05
UTTAMSUGAR,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,19.0633,SUCCESS,23.7,15.55,2013-04-12,2013-07-20,63.0,22.0,2013-04-15,13.25,2013-07-09,15.4,-30.49,45.9,21.85,14.62,13.5,-29.18
UTTAMSUGAR,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-23,15.0,10.9533,SUCCESS,11.55,10.35,2013-10-24,2014-01-20,55.0,13.85,2014-01-13,9.65,2013-11-08,26.45,-11.9,38.34,13.2,20.51,10.0,-8.7
UTTAMSUGAR,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,14.6233,SUCCESS,18.0,12.65,2014-04-10,2014-07-20,44.0,24.55,2014-06-11,13.9,2014-05-15,67.88,-4.95,72.83,23.4,60.02,14.4,-1.53
UTTAMSUGAR,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,29.6933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
UTTAMSUGAR,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,29.6933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
UTTAMSUGAR,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,29.6933,SUCCESS,33.9,24.6,2016-01-16,2016-01-20,3.0,27.95,2016-01-18,24.8,2016-01-18,-5.87,-16.48,10.61,27.25,-8.23,26.05,-12.27
UTTAMSUGAR,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,41.0033,SUCCESS,62.45,29.0,2016-04-13,2016-07-20,67.0,98.0,2016-06-16,46.35,2016-04-29,139.0,13.04,125.97,92.3,125.1,48.85,19.14
UTTAMSUGAR,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,58.7067,SUCCESS,64.9,49.0,2016-10-11,2017-01-20,71.0,79.6,2017-01-11,39.1,2016-11-18,35.59,-33.4,68.99,77.85,32.61,40.5,-31.01
