Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
V2RETAIL,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,8.842,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
V2RETAIL,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,8.842,SUCCESS,11.19,6.74,2009-01-17,2009-01-20,2.0,7.08,2009-01-19,6.14,2009-01-20,-19.93,-30.56,10.63,6.46,-26.94,6.15,-30.45
V2RETAIL,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,3.6873,SUCCESS,4.89,2.97,2009-04-16,2009-07-20,65.0,10.01,2009-06-08,3.68,2009-04-29,171.47,-0.2,171.67,9.53,158.45,3.72,0.89
V2RETAIL,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,7.378,SUCCESS,8.4,6.82,2009-10-16,2010-01-20,65.0,8.64,2009-11-23,5.48,2009-11-17,17.1,-25.73,42.83,8.28,12.23,5.55,-24.78
V2RETAIL,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,5.4907,SUCCESS,6.18,5.14,2010-04-14,2010-07-20,69.0,7.17,2010-06-22,4.72,2010-05-21,30.59,-14.04,44.62,6.83,24.39,4.79,-12.76
V2RETAIL,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,4.7533,SUCCESS,5.25,4.41,2010-10-09,2011-01-20,72.0,4.64,2010-10-11,2.9,2010-11-26,-2.38,-38.99,36.61,4.52,-4.91,3.03,-36.26
V2RETAIL,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,3.0213,SUCCESS,4.12,2.71,2011-04-09,2011-07-20,70.0,3.74,2011-04-18,2.54,2011-05-06,23.79,-15.93,39.72,3.5,15.84,2.9,-4.02
V2RETAIL,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,2.368,SUCCESS,2.76,2.22,2011-10-12,2012-01-20,70.0,2.43,2011-11-28,1.24,2011-12-21,2.62,-47.64,50.25,2.35,-0.76,1.28,-45.95
V2RETAIL,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,1.2833,SUCCESS,1.55,1.12,2012-04-12,2012-07-20,72.0,1.78,2012-07-09,0.88,2012-05-23,38.7,-31.43,70.13,1.57,22.34,0.91,-29.09
V2RETAIL,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,1.2427,SUCCESS,1.35,1.1,2012-10-12,2013-01-20,67.0,1.79,2012-12-10,1.02,2012-11-01,44.05,-17.92,61.96,1.71,37.61,1.05,-15.5
V2RETAIL,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,0.9027,SUCCESS,1.05,0.8,2013-04-12,2013-07-20,68.0,1.34,2013-05-09,0.91,2013-04-15,48.45,0.81,47.64,1.31,45.13,0.95,5.24
V2RETAIL,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-21,15.0,0.802,SUCCESS,0.91,0.73,2013-10-22,2014-01-20,60.0,0.88,2013-11-11,0.65,2013-10-24,9.73,-18.95,28.68,0.85,5.99,0.65,-18.95
V2RETAIL,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,1.5207,SUCCESS,1.77,1.35,2014-04-10,2014-07-20,44.0,1.69,2014-05-30,1.35,2014-05-02,11.14,-11.22,22.36,1.69,11.14,1.38,-9.25
V2RETAIL,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,6.4167,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
V2RETAIL,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,6.4167,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
V2RETAIL,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,6.4167,SUCCESS,7.33,4.96,2016-01-16,2016-01-20,3.0,5.32,2016-01-18,4.4,2016-01-20,-17.09,-31.43,14.34,4.85,-24.42,4.56,-28.94
V2RETAIL,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,4.8373,SUCCESS,5.4,4.3,2016-04-13,2016-07-20,67.0,7.48,2016-05-20,4.61,2016-05-09,54.63,-4.7,59.33,7.07,46.15,4.77,-1.39
V2RETAIL,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,11.7273,SUCCESS,13.73,9.37,2016-10-11,2017-01-20,71.0,16.38,2016-11-04,9.43,2016-11-22,39.67,-19.59,59.26,15.49,32.08,9.93,-15.33
V2RETAIL,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,19.116,SUCCESS,20.99,17.85,2017-04-11,2017-07-20,70.0,26.52,2017-06-20,18.1,2017-04-19,38.73,-5.31,44.05,25.84,35.17,18.23,-4.63
V2RETAIL,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,41.7173,SUCCESS,45.4,37.12,2017-10-12,2018-01-20,70.0,55.56,2017-12-12,41.76,2017-10-12,33.18,0.1,33.08,53.1,27.29,43.91,5.26
V2RETAIL,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,44.2907,SUCCESS,49.77,40.3,2018-04-12,2018-07-20,71.0,47.17,2018-04-12,37.58,2018-06-06,6.5,-15.15,21.65,46.67,5.37,38.23,-13.68
V2RETAIL,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,31.2433,SUCCESS,39.8,26.0,2018-10-13,2019-01-20,66.0,37.45,2018-10-16,24.54,2018-12-10,19.87,-21.46,41.32,34.52,10.49,24.74,-20.82
V2RETAIL,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,28.156,SUCCESS,29.89,26.71,2019-04-11,2019-07-20,67.0,27.9,2019-04-11,14.0,2019-07-19,-0.91,-50.28,49.37,27.55,-2.15,14.17,-49.67
V2RETAIL,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,14.5287,SUCCESS,17.94,11.41,2019-10-15,2020-01-20,67.0,14.9,2019-10-23,9.03,2019-12-11,2.56,-37.85,40.4,14.0,-3.64,9.18,-36.81
V2RETAIL,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,4.944,SUCCESS,6.57,3.03,2020-04-16,2020-07-20,66.0,6.6,2020-04-20,4.56,2020-07-16,33.5,-7.77,41.26,6.6,33.5,4.67,-5.54
V2RETAIL,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,5.002,SUCCESS,5.55,4.77,2020-10-13,2021-01-20,69.0,12.61,2021-01-18,4.45,2020-11-02,152.1,-11.04,163.13,12.2,143.9,4.58,-8.44
V2RETAIL,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,12.7553,SUCCESS,14.2,11.54,2021-04-14,2021-07-20,66.0,14.45,2021-06-08,9.95,2021-04-20,13.29,-21.99,35.28,13.89,8.9,10.16,-20.35
V2RETAIL,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,14.5467,SUCCESS,16.4,12.0,2021-10-09,2022-01-20,71.0,20.58,2021-11-10,14.93,2021-12-21,41.48,2.64,38.84,20.08,38.04,15.31,5.25
V2RETAIL,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,15.05,SUCCESS,17.16,13.83,2022-04-09,2022-07-20,70.0,16.9,2022-04-13,9.66,2022-06-23,12.29,-35.81,48.11,16.59,10.23,9.96,-33.82
V2RETAIL,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,11.0933,SUCCESS,12.1,10.36,2022-10-12,2023-01-20,71.0,11.96,2022-10-12,7.98,2022-12-23,7.81,-28.06,35.88,11.17,0.69,8.08,-27.16
V2RETAIL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,7.8473,SUCCESS,8.46,6.71,2023-04-13,2023-07-20,68.0,15.15,2023-07-07,7.51,2023-05-26,93.06,-4.3,97.36,15.1,92.42,7.69,-2.0
