Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
VAISHALI,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,4.1887,SUCCESS,4.96,3.65,2020-04-16,2020-07-20,66.0,5.49,2020-07-08,3.7,2020-06-12,31.07,-11.67,42.73,5.07,21.04,4.48,6.96
VAISHALI,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,3.9693,SUCCESS,4.7,3.51,2020-10-13,2021-01-20,69.0,7.71,2021-01-01,2.84,2020-11-18,94.24,-28.45,122.69,7.52,89.45,3.23,-18.63
VAISHALI,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,3.3947,SUCCESS,3.7,3.2,2021-04-14,2021-07-20,66.0,4.67,2021-04-28,3.23,2021-04-15,37.57,-4.85,42.42,4.56,34.33,3.31,-2.49
VAISHALI,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,3.724,SUCCESS,4.05,3.62,2021-10-09,2022-01-20,71.0,4.35,2022-01-12,2.9,2021-12-07,16.81,-22.13,38.94,3.95,6.07,3.23,-13.27
VAISHALI,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,6.752,SUCCESS,8.87,5.58,2022-04-09,2022-07-20,70.0,11.93,2022-04-20,6.84,2022-05-13,76.69,1.3,75.39,11.18,65.58,7.19,6.49
VAISHALI,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,9.7033,SUCCESS,10.52,9.11,2022-10-12,2023-01-20,71.0,16.66,2023-01-16,9.51,2022-10-19,71.69,-1.99,73.69,16.3,67.98,9.59,-1.17
VAISHALI,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,14.6773,SUCCESS,15.58,14.11,2023-04-13,2023-07-20,68.0,15.46,2023-05-02,11.49,2023-07-17,5.33,-21.72,27.05,15.09,2.81,11.6,-20.97
VAISHALI,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,12.7273,SUCCESS,14.15,11.82,2023-10-12,2024-01-20,70.0,20.36,2024-01-16,12.73,2023-10-26,59.97,0.02,59.95,19.85,55.96,13.14,3.24
VAISHALI,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,15.1153,SUCCESS,17.49,13.61,2024-04-13,2024-07-20,66.0,18.24,2024-05-09,12.49,2024-06-05,20.67,-17.37,38.04,16.9,11.81,13.33,-11.81
VAISHALI,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,19.4653,SUCCESS,21.49,17.42,2024-10-12,2025-01-20,68.0,24.91,2024-10-15,13.61,2025-01-17,27.97,-30.08,58.05,24.9,27.92,14.29,-26.59
VAISHALI,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,11.9353,SUCCESS,13.84,10.3,2025-04-12,2025-07-20,67.0,15.24,2025-04-24,10.9,2025-05-09,27.69,-8.67,36.36,14.78,23.83,11.4,-4.49
VAISHALI,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,11.4827,SUCCESS,12.34,10.7,2025-10-14,2026-01-20,67.0,11.15,2025-10-28,7.75,2025-12-11,-2.9,-32.51,29.61,10.75,-6.38,7.9,-31.2
VAISHALI,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,5.91,SUCCESS,6.9,4.75,2026-04-16,2026-07-20,65.0,9.3,2026-04-21,6.54,2026-04-16,57.36,10.66,46.7,9.07,53.47,6.55,10.83
VAISHALI,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
