Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
VARDHACRLC,2003,20-March,2003-03-20,2003-09-30,2003-09-30,2003-10-21,15.0,10.2067,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VARDHACRLC,2003,20-September,2003-09-20,2003-09-30,2003-09-30,2003-10-21,15.0,10.2067,SUCCESS,12.0,9.5,2003-10-22,2004-01-20,65.0,12.5,2004-01-02,7.8,2003-11-10,22.47,-23.58,46.05,11.65,14.14,9.25,-9.37
VARDHACRLC,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,8.5533,SUCCESS,10.0,7.45,2004-04-13,2004-07-20,70.0,10.15,2004-05-10,7.25,2004-05-17,18.67,-15.24,33.9,9.6,12.24,7.5,-12.31
VARDHACRLC,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,11.4433,SUCCESS,13.8,10.2,2004-10-09,2005-01-20,71.0,19.3,2004-12-28,11.5,2004-10-19,68.66,0.5,68.16,18.6,62.54,11.55,0.93
VARDHACRLC,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,13.6667,SUCCESS,15.0,12.1,2005-04-12,2005-07-20,72.0,17.35,2005-05-24,12.9,2005-05-03,26.95,-5.61,32.56,17.05,24.76,12.95,-5.24
VARDHACRLC,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,14.3033,SUCCESS,16.1,13.15,2005-10-11,2006-01-20,70.0,13.9,2005-10-11,9.2,2005-12-27,-2.82,-35.68,32.86,13.5,-5.62,9.55,-33.23
VARDHACRLC,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,7.3533,SUCCESS,9.2,5.45,2006-04-11,2006-07-20,72.0,8.75,2006-05-11,4.9,2006-06-14,18.99,-33.36,52.36,8.3,12.87,5.05,-31.32
VARDHACRLC,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,6.9033,SUCCESS,8.65,6.4,2006-10-12,2007-01-20,69.0,9.4,2007-01-17,6.25,2006-12-12,36.17,-9.46,45.63,8.95,29.65,6.4,-7.29
VARDHACRLC,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,6.15,SUCCESS,7.5,5.55,2007-04-12,2007-07-20,45.0,8.5,2007-05-14,6.45,2007-06-15,38.21,4.88,33.33,7.8,26.83,6.5,5.69
VARDHACRLC,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,3.8767,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VARDHACRLC,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,3.8767,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VARDHACRLC,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,3.8767,SUCCESS,4.25,3.1,2009-01-17,2009-01-20,2.0,3.9,2009-01-19,3.7,2009-01-20,0.6,-4.56,5.16,3.75,-3.27,3.75,-3.27
VARDHACRLC,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,4.1533,SUCCESS,6.1,3.7,2009-04-16,2009-07-20,65.0,11.6,2009-07-20,4.75,2009-04-23,179.29,14.37,164.93,11.05,166.05,4.95,19.18
VARDHACRLC,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,9.7833,SUCCESS,10.9,8.5,2009-10-16,2010-01-20,65.0,13.5,2010-01-05,8.45,2009-10-29,37.99,-13.63,51.62,13.0,32.88,9.05,-7.5
VARDHACRLC,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,11.3033,SUCCESS,12.3,10.25,2010-04-14,2010-07-20,69.0,16.75,2010-07-19,11.7,2010-04-19,48.19,3.51,44.68,16.35,44.65,11.75,3.95
VARDHACRLC,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,13.7567,SUCCESS,14.25,13.25,2010-10-09,2011-01-20,72.0,16.05,2010-10-26,9.25,2011-01-10,16.67,-32.76,49.43,15.4,11.95,10.4,-24.4
VARDHACRLC,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,9.9767,SUCCESS,11.1,9.25,2011-04-09,2011-07-20,70.0,12.55,2011-05-05,10.0,2011-07-04,25.79,0.23,25.56,12.0,20.28,10.1,1.24
VARDHACRLC,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,9.15,SUCCESS,9.75,8.8,2011-10-12,2012-01-20,70.0,9.35,2011-11-09,6.65,2011-12-21,2.19,-27.32,29.51,9.25,1.09,6.75,-26.23
VARDHACRLC,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,7.4233,SUCCESS,8.0,7.0,2012-04-12,2012-07-20,72.0,11.2,2012-07-16,7.0,2012-05-22,50.88,-5.7,56.58,11.05,48.85,7.85,5.75
VARDHACRLC,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,11.4867,SUCCESS,11.7,11.1,2012-10-12,2013-01-20,67.0,12.95,2012-10-29,11.05,2012-12-03,12.74,-3.8,16.54,11.85,3.16,11.25,-2.06
