Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
VASWANI,2011,20-March,2011-03-20,2011-10-24,2011-10-24,2011-11-16,15.0,13.4067,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VASWANI,2011,20-September,2011-09-20,2011-10-24,2011-10-24,2011-11-16,15.0,13.4067,SUCCESS,33.7,11.3,2011-11-17,2012-01-20,47.0,13.2,2011-11-17,7.4,2011-12-22,-1.54,-44.8,43.26,12.75,-4.9,8.1,-39.58
VASWANI,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,8.37,SUCCESS,9.9,7.25,2012-04-12,2012-07-20,72.0,9.9,2012-05-24,5.35,2012-06-19,18.28,-36.08,54.36,9.2,9.92,6.25,-25.33
VASWANI,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,4.39,SUCCESS,4.85,4.0,2012-10-12,2013-01-20,67.0,6.8,2013-01-04,3.7,2012-11-22,54.9,-15.72,70.62,6.5,48.06,3.95,-10.02
VASWANI,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,3.9833,SUCCESS,4.6,3.75,2013-04-12,2013-07-20,64.0,3.95,2013-04-17,2.6,2013-06-17,-0.84,-34.73,33.89,3.9,-2.09,2.8,-29.71
VASWANI,2013,20-September,2013-09-20,2013-09-23,2013-09-23,2013-12-04,15.0,3.0333,SUCCESS,3.35,2.7,2013-12-05,2014-01-20,16.0,3.3,2014-01-10,2.8,2013-12-05,8.79,-7.69,16.48,3.3,8.79,2.8,-7.69
VASWANI,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-11,15.0,1.92,SUCCESS,2.2,1.75,2014-04-12,2014-07-20,29.0,3.85,2014-06-16,2.0,2014-04-17,100.52,4.17,96.35,3.85,100.52,2.0,4.17
VASWANI,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,6.33,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VASWANI,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,6.33,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VASWANI,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,6.33,SUCCESS,8.3,4.7,2016-01-16,2016-01-20,3.0,8.0,2016-01-18,6.8,2016-01-20,26.38,7.42,18.96,7.5,18.48,6.8,7.42
VASWANI,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,7.6433,SUCCESS,9.5,6.1,2016-04-13,2016-07-20,67.0,9.2,2016-04-13,5.75,2016-06-03,20.37,-24.77,45.14,8.9,16.44,6.6,-13.65
VASWANI,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,8.3433,SUCCESS,9.3,6.8,2016-10-11,2017-01-20,71.0,13.4,2016-10-27,7.5,2016-10-14,60.61,-10.11,70.72,13.25,58.81,7.8,-6.51
VASWANI,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,9.3933,SUCCESS,10.15,8.8,2017-04-11,2017-07-20,70.0,13.25,2017-07-20,7.5,2017-06-30,41.06,-20.16,61.21,12.85,36.8,8.4,-10.57
VASWANI,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,17.2533,SUCCESS,24.6,14.65,2017-10-12,2018-01-20,70.0,21.2,2018-01-05,13.3,2017-10-13,22.87,-22.91,45.79,19.85,15.05,13.95,-19.15
VASWANI,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,16.1733,SUCCESS,18.9,14.8,2018-04-12,2018-07-20,71.0,16.8,2018-04-12,11.1,2018-06-05,3.87,-31.37,35.24,16.45,1.71,11.6,-28.28
VASWANI,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,9.3733,SUCCESS,12.6,8.1,2018-10-13,2019-01-20,66.0,14.35,2018-11-20,7.75,2018-10-30,53.09,-17.32,70.41,13.35,42.43,8.75,-6.65
VASWANI,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,9.8433,SUCCESS,10.5,8.7,2019-04-11,2019-07-20,67.0,12.35,2019-06-12,7.15,2019-07-11,25.47,-27.36,52.83,11.4,15.81,7.9,-19.74
VASWANI,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,6.08,SUCCESS,7.3,4.6,2019-10-15,2020-01-20,67.0,8.1,2019-12-06,4.0,2019-11-29,33.22,-34.21,67.43,8.0,31.58,4.35,-28.45
VASWANI,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,2.84,SUCCESS,3.35,2.3,2020-04-16,2020-07-20,64.0,6.5,2020-07-01,2.85,2020-05-28,128.87,0.35,128.52,6.3,121.83,2.9,2.11
VASWANI,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,5.1367,SUCCESS,5.8,4.75,2020-10-13,2021-01-20,69.0,8.2,2021-01-20,3.9,2020-10-27,59.64,-24.08,83.71,8.2,59.64,4.1,-20.18
VASWANI,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,9.79,SUCCESS,11.1,9.0,2021-04-14,2021-07-20,66.0,15.8,2021-05-12,8.6,2021-04-23,61.39,-12.16,73.54,15.2,55.26,9.15,-6.54
VASWANI,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,11.7467,SUCCESS,14.5,10.9,2021-10-09,2022-01-20,71.0,38.5,2022-01-20,11.6,2021-10-12,227.75,-1.25,229.0,36.8,213.28,13.0,10.67
VASWANI,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,20.82,SUCCESS,23.3,18.85,2022-04-09,2022-07-20,70.0,23.75,2022-06-16,16.1,2022-06-15,14.07,-22.67,36.74,21.25,2.07,16.8,-19.31
VASWANI,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,21.4967,SUCCESS,24.3,20.0,2022-10-12,2023-01-20,71.0,27.15,2023-01-20,15.6,2022-12-26,26.3,-27.43,53.73,25.3,17.69,16.3,-24.17
VASWANI,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,20.67,SUCCESS,23.0,18.15,2023-04-13,2023-07-20,68.0,23.6,2023-04-18,19.8,2023-07-18,14.18,-4.21,18.38,22.9,10.79,19.95,-3.48
VASWANI,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,29.0567,SUCCESS,34.4,26.15,2023-10-12,2024-01-20,70.0,34.85,2024-01-09,22.55,2023-11-01,19.94,-22.39,42.33,33.15,14.09,23.35,-19.64
VASWANI,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,35.38,SUCCESS,39.7,30.6,2024-04-16,2024-07-20,65.0,51.84,2024-07-16,30.4,2024-06-05,46.52,-14.08,60.6,47.69,34.79,30.4,-14.08
VASWANI,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,58.1153,SUCCESS,73.88,48.8,2024-10-12,2025-01-20,68.0,65.53,2025-01-06,45.56,2024-10-28,12.76,-21.6,34.36,60.13,3.47,46.5,-19.99
VASWANI,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,37.086,SUCCESS,40.85,33.4,2025-04-12,2025-07-20,67.0,66.84,2025-07-14,37.3,2025-04-15,80.23,0.58,79.65,61.17,64.94,38.13,2.82
VASWANI,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,55.11,SUCCESS,59.0,51.12,2025-10-14,2026-01-20,67.0,69.99,2025-11-12,51.11,2025-12-08,27.0,-7.26,34.26,67.65,22.75,51.85,-5.92
VASWANI,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,53.304,SUCCESS,58.75,49.1,2026-04-16,2026-07-20,65.0,63.4,2026-06-09,52.0,2026-07-20,18.94,-2.45,21.39,62.25,16.78,52.82,-0.91
VASWANI,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
