Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
VENKEYS,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,20.2173,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VENKEYS,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,20.2173,SUCCESS,23.67,17.0,2002-01-16,2002-01-20,3.0,23.33,2002-01-16,20.33,2002-01-16,15.4,0.56,14.84,21.53,6.49,21.47,6.2
VENKEYS,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,23.166,SUCCESS,25.67,22.0,2002-04-12,2002-07-20,70.0,35.83,2002-07-08,21.7,2002-05-22,54.67,-6.33,60.99,34.73,49.92,22.7,-2.01
VENKEYS,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,30.1487,SUCCESS,31.63,29.0,2002-10-12,2003-01-20,67.0,33.33,2002-10-28,25.33,2002-11-15,10.55,-15.98,26.54,30.63,1.6,26.93,-10.68
VENKEYS,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,34.458,SUCCESS,38.6,33.33,2003-04-09,2003-07-20,70.0,39.5,2003-05-19,30.0,2003-04-30,14.63,-12.94,27.57,38.6,12.02,30.77,-10.7
VENKEYS,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,35.9687,SUCCESS,37.33,33.67,2003-10-14,2004-01-20,71.0,66.6,2003-12-19,36.0,2003-10-21,85.16,0.09,85.07,63.77,77.29,36.33,1.0
VENKEYS,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,39.7313,SUCCESS,43.27,36.7,2004-04-13,2004-07-20,70.0,47.93,2004-07-20,34.03,2004-05-17,20.64,-14.35,34.98,44.73,12.58,37.27,-6.19
VENKEYS,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,52.2367,SUCCESS,61.0,48.7,2004-10-09,2005-01-20,71.0,70.0,2004-10-09,49.8,2004-11-01,34.01,-4.66,38.67,67.03,28.32,50.93,-2.5
VENKEYS,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,51.612,SUCCESS,56.0,48.87,2005-04-12,2005-07-20,72.0,118.0,2005-07-19,53.03,2005-04-12,128.63,2.75,125.88,114.97,122.76,54.87,6.31
VENKEYS,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,130.4533,SUCCESS,145.7,118.33,2005-10-11,2006-01-20,70.0,141.33,2006-01-04,89.67,2005-10-21,8.34,-31.26,39.6,133.93,2.67,90.9,-30.32
VENKEYS,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,83.4413,SUCCESS,91.07,78.4,2006-04-11,2006-07-20,72.0,103.33,2006-05-02,60.67,2006-06-13,23.84,-27.29,51.13,97.8,17.21,61.13,-26.74
VENKEYS,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,86.6167,SUCCESS,96.67,80.73,2006-10-12,2007-01-20,69.0,95.83,2006-11-30,69.33,2006-12-13,10.64,-19.96,30.59,93.43,7.87,70.8,-18.26
VENKEYS,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,70.338,SUCCESS,74.67,67.37,2007-04-12,2007-07-20,45.0,99.37,2007-06-01,70.33,2007-05-11,41.27,-0.01,41.29,95.63,35.96,72.57,3.17
VENKEYS,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,47.7573,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VENKEYS,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,47.7573,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VENKEYS,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,47.7573,SUCCESS,51.6,43.53,2009-01-17,2009-01-20,2.0,48.0,2009-01-19,45.27,2009-01-20,0.51,-5.21,5.72,46.33,-2.99,46.13,-3.41
VENKEYS,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,52.394,SUCCESS,62.67,44.97,2009-04-16,2009-07-20,65.0,106.0,2009-06-02,49.53,2009-04-16,102.31,-5.47,107.78,97.87,86.8,55.7,6.31
VENKEYS,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,110.254,SUCCESS,119.87,98.73,2009-10-16,2010-01-20,65.0,190.0,2009-12-08,107.33,2009-10-16,72.33,-2.65,74.98,180.6,63.8,113.83,3.24
VENKEYS,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,236.682,SUCCESS,294.73,199.0,2010-04-14,2010-07-20,69.0,399.33,2010-07-20,234.13,2010-05-05,68.72,-1.08,69.8,393.0,66.05,249.07,5.23
VENKEYS,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,620.488,SUCCESS,666.0,578.67,2010-10-09,2011-01-20,72.0,674.67,2010-10-11,400.07,2011-01-12,8.73,-35.52,44.26,655.0,5.56,407.0,-34.41
VENKEYS,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,399.034,SUCCESS,459.13,330.07,2011-04-09,2011-07-20,70.0,505.67,2011-04-27,354.83,2011-06-23,26.72,-11.08,37.8,495.57,24.19,356.5,-10.66
VENKEYS,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,262.462,SUCCESS,284.67,243.53,2011-10-12,2012-01-20,70.0,353.2,2011-10-19,243.33,2011-12-20,34.57,-7.29,41.86,341.67,30.18,245.97,-6.28
VENKEYS,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,263.604,SUCCESS,278.6,253.33,2012-04-12,2012-07-20,72.0,312.0,2012-07-18,210.9,2012-05-21,18.36,-19.99,38.35,306.1,16.12,218.63,-17.06
VENKEYS,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,382.1533,SUCCESS,415.33,366.73,2012-10-12,2013-01-20,67.0,402.0,2012-10-17,287.33,2012-11-15,5.19,-24.81,30.01,397.07,3.9,295.3,-22.73
VENKEYS,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,351.4333,SUCCESS,396.67,303.33,2013-04-12,2013-07-20,69.0,388.0,2013-05-09,288.13,2013-07-19,10.41,-18.01,28.42,377.4,7.39,292.4,-16.8
