Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
VGUARD,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,3.2527,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VGUARD,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,3.2527,SUCCESS,3.71,3.07,2009-01-17,2009-01-20,2.0,3.21,2009-01-19,3.09,2009-01-20,-1.31,-5.0,3.69,3.17,-2.54,3.16,-2.85
VGUARD,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,3.1807,SUCCESS,3.49,2.82,2009-04-16,2009-07-20,65.0,5.64,2009-06-11,3.29,2009-04-21,77.32,3.44,73.88,5.45,71.35,3.32,4.38
VGUARD,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,5.3707,SUCCESS,5.86,5.14,2009-10-16,2010-01-20,65.0,6.79,2010-01-18,4.69,2009-10-20,26.43,-12.67,39.1,6.71,24.94,5.25,-2.25
VGUARD,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,6.854,SUCCESS,7.77,6.29,2010-04-14,2010-07-20,69.0,8.16,2010-07-13,6.59,2010-05-26,19.05,-3.85,22.91,8.02,17.01,6.66,-2.83
VGUARD,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,13.842,SUCCESS,14.57,13.24,2010-10-09,2011-01-20,72.0,15.34,2010-11-11,10.87,2010-11-26,10.82,-21.47,32.29,14.74,6.49,11.62,-16.05
VGUARD,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,12.092,SUCCESS,13.39,10.93,2011-04-09,2011-07-20,70.0,16.93,2011-07-06,12.5,2011-05-04,40.01,3.37,36.64,16.64,37.61,12.79,5.77
VGUARD,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,15.1047,SUCCESS,16.38,14.31,2011-10-12,2012-01-20,70.0,15.57,2011-10-12,10.2,2011-12-20,3.08,-32.47,35.55,15.39,1.89,10.37,-31.35
VGUARD,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,13.3467,SUCCESS,14.21,12.86,2012-04-12,2012-07-20,72.0,23.5,2012-07-12,12.82,2012-05-16,76.07,-3.95,80.02,22.48,68.43,12.98,-2.75
VGUARD,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,28.46,SUCCESS,29.93,27.29,2012-10-12,2013-01-20,67.0,39.1,2012-12-13,27.85,2012-10-26,37.39,-2.14,39.53,38.82,36.4,28.32,-0.49
VGUARD,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,32.3873,SUCCESS,36.59,29.02,2013-04-12,2013-07-20,69.0,39.86,2013-05-09,31.11,2013-06-25,23.07,-3.94,27.02,38.32,18.32,31.59,-2.46
VGUARD,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,35.776,SUCCESS,38.06,34.44,2013-10-12,2014-01-20,68.0,38.21,2013-10-14,31.86,2014-01-20,6.8,-10.95,17.75,37.38,4.48,32.12,-10.22
VGUARD,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,32.764,SUCCESS,33.94,31.36,2014-04-10,2014-07-20,44.0,42.86,2014-05-20,32.64,2014-04-28,30.81,-0.38,31.19,42.24,28.92,33.32,1.7
VGUARD,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,66.0027,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VGUARD,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,66.0027,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VGUARD,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,66.0027,SUCCESS,67.86,60.91,2016-01-16,2016-01-20,3.0,64.25,2016-01-18,60.01,2016-01-20,-2.66,-9.08,6.42,62.84,-4.79,60.44,-8.43
VGUARD,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,63.322,SUCCESS,67.68,59.29,2016-04-13,2016-07-20,67.0,105.0,2016-06-17,65.64,2016-04-25,65.82,3.66,62.16,101.27,59.93,66.26,4.64
VGUARD,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,132.5107,SUCCESS,137.68,121.43,2016-10-11,2017-01-20,71.0,161.71,2016-10-26,108.64,2016-12-28,22.04,-18.01,40.05,153.5,15.84,111.04,-16.2
VGUARD,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,173.8,SUCCESS,186.5,167.6,2017-04-11,2017-07-20,70.0,220.85,2017-05-16,171.0,2017-06-30,27.07,-1.61,28.68,216.9,24.8,172.55,-0.72
VGUARD,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,188.2067,SUCCESS,203.9,177.05,2017-10-12,2018-01-20,70.0,247.95,2018-01-18,186.55,2017-10-17,31.74,-0.88,32.62,243.8,29.54,188.25,0.02
VGUARD,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,227.27,SUCCESS,235.85,217.05,2018-04-12,2018-07-20,71.0,254.9,2018-04-20,182.8,2018-07-18,12.16,-19.57,31.72,249.9,9.96,185.75,-18.27
VGUARD,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,175.06,SUCCESS,195.9,159.4,2018-10-13,2019-01-20,66.0,237.0,2018-12-27,163.25,2018-10-25,35.38,-6.75,42.13,234.0,33.67,167.3,-4.43
VGUARD,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,220.0533,SUCCESS,230.4,213.1,2019-04-11,2019-07-20,67.0,252.0,2019-06-26,198.1,2019-05-10,14.52,-9.98,24.49,246.95,12.22,203.9,-7.34
VGUARD,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,225.5733,SUCCESS,236.9,215.65,2019-10-15,2020-01-20,67.0,259.2,2019-10-31,206.3,2019-12-10,14.91,-8.54,23.45,249.8,10.74,209.1,-7.3
VGUARD,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,158.6667,SUCCESS,186.25,149.0,2020-04-16,2020-07-20,66.0,195.0,2020-04-20,158.55,2020-04-16,22.9,-0.07,22.97,186.2,17.35,160.65,1.25
VGUARD,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,167.1,SUCCESS,178.1,162.6,2020-10-13,2021-01-20,69.0,225.0,2021-01-18,163.5,2020-10-21,34.65,-2.15,36.8,220.3,31.84,163.95,-1.89
VGUARD,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,239.8633,SUCCESS,262.0,221.15,2021-04-14,2021-07-20,66.0,285.0,2021-05-31,219.0,2021-05-04,18.82,-8.7,27.52,278.95,16.3,221.4,-7.7
VGUARD,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,258.68,SUCCESS,274.8,249.1,2021-10-09,2022-01-20,71.0,270.0,2021-10-13,217.5,2022-01-19,4.38,-15.92,20.3,265.7,2.71,219.75,-15.05
VGUARD,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,218.2567,SUCCESS,227.8,212.15,2022-04-09,2022-07-20,70.0,239.4,2022-06-09,195.15,2022-05-11,9.69,-10.59,20.27,236.1,8.18,200.6,-8.09
VGUARD,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,243.3767,SUCCESS,254.95,229.0,2022-10-12,2023-01-20,71.0,274.9,2022-12-19,240.55,2022-10-14,12.95,-1.16,14.11,272.5,11.97,244.4,0.42
VGUARD,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,249.72,SUCCESS,260.0,237.5,2023-04-13,2023-07-20,68.0,295.9,2023-07-10,239.0,2023-05-31,18.49,-4.29,22.79,291.2,16.61,245.0,-1.89
VGUARD,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,299.9533,SUCCESS,311.75,281.0,2023-10-12,2024-01-20,70.0,313.5,2023-10-19,283.1,2023-11-10,4.52,-5.62,10.13,308.5,2.85,284.2,-5.25
VGUARD,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,333.9067,SUCCESS,353.8,315.4,2024-04-13,2024-07-20,66.0,527.55,2024-07-08,331.0,2024-04-16,57.99,-0.87,58.86,476.5,42.7,336.3,0.72
