Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
VIJIFIN,2016,20-March,2016-03-20,2016-07-11,2016-07-11,2016-07-29,15.0,5.6513,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VIJIFIN,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,8.728,SUCCESS,10.63,7.5,2016-10-11,2017-01-20,71.0,15.26,2016-12-15,6.41,2017-01-20,74.84,-26.56,101.4,14.28,63.61,6.41,-26.56
VIJIFIN,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,4.6373,SUCCESS,5.52,4.16,2017-04-11,2017-07-20,48.0,4.94,2017-04-11,2.62,2017-07-17,6.53,-43.5,50.03,4.46,-3.82,2.62,-43.5
VIJIFIN,2017,20-September,2017-09-20,2017-09-25,2017-09-25,2017-11-07,15.0,3.9513,SUCCESS,5.21,2.62,2017-11-08,2018-01-20,52.0,8.81,2018-01-09,4.98,2017-11-08,122.96,26.03,96.93,8.43,113.35,5.43,37.42
VIJIFIN,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,3.8867,SUCCESS,4.42,3.45,2018-04-12,2018-07-20,71.0,3.82,2018-04-12,1.99,2018-06-26,-1.72,-48.8,47.08,3.67,-5.57,2.06,-47.0
VIJIFIN,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,3.0607,SUCCESS,3.75,2.4,2018-10-13,2019-01-20,66.0,4.16,2018-10-25,1.16,2019-01-18,35.92,-62.1,98.02,4.01,31.02,1.16,-62.1
VIJIFIN,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,0.6467,SUCCESS,0.75,0.6,2019-04-11,2019-07-20,67.0,0.75,2019-04-12,0.34,2019-06-25,15.98,-47.42,63.4,0.71,9.79,0.34,-47.42
VIJIFIN,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,0.3373,SUCCESS,0.37,0.3,2019-10-15,2020-01-20,67.0,0.37,2019-10-16,0.26,2019-11-25,9.68,-22.92,32.61,0.37,9.68,0.3,-11.07
VIJIFIN,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,0.182,SUCCESS,0.22,0.15,2020-04-16,2020-07-20,66.0,0.86,2020-07-02,0.15,2020-04-16,372.53,-17.58,390.11,0.82,350.55,0.19,4.4
VIJIFIN,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,0.3887,SUCCESS,0.45,0.34,2020-10-13,2021-01-20,70.0,0.64,2020-12-10,0.34,2020-10-13,64.67,-12.52,77.19,0.6,54.37,0.34,-12.52
