Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
VINNY,2018,20-March,2018-03-20,2018-10-26,2018-10-26,2019-01-16,15.0,1.938,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VINNY,2018,20-September,2018-09-20,2018-10-26,2018-10-26,2019-01-16,15.0,1.938,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VINNY,2019,20-March,2019-03-20,2019-03-22,2019-03-22,2019-06-18,15.0,1.778,SUCCESS,2.01,1.5,2019-06-19,2019-07-20,4.0,1.8,2019-07-04,1.65,2019-06-21,1.24,-7.2,8.44,1.78,0.11,1.74,-2.14
VINNY,2019,20-September,2019-09-20,2019-10-14,2019-10-14,2020-06-01,15.0,1.5767,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VINNY,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-06-19,15.0,1.734,SUCCESS,1.87,1.49,2020-06-20,2020-07-20,9.0,1.8,2020-06-22,1.65,2020-07-20,3.81,-4.84,8.65,1.8,3.81,1.65,-4.84
VINNY,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2021-01-19,15.0,1.7553,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VINNY,2021,20-March,2021-03-20,2021-03-23,2021-03-23,2021-11-09,15.0,1.7007,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VINNY,2021,20-September,2021-09-20,2021-10-22,2021-10-22,2022-02-04,15.0,1.652,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VINNY,2022,20-March,2022-03-20,2022-03-23,2022-03-23,2022-05-12,15.0,2.88,SUCCESS,3.22,2.39,2022-05-13,2022-07-20,13.0,2.48,2022-06-21,1.92,2022-07-11,-13.89,-33.33,19.44,2.48,-13.89,1.92,-33.33
VINNY,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-11-03,15.0,2.7,SUCCESS,3.24,2.2,2022-11-04,2023-01-20,55.0,9.91,2023-01-20,3.26,2022-11-04,267.04,20.74,246.3,9.91,267.04,3.36,24.44
VINNY,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,8.77,SUCCESS,11.3,7.25,2023-04-13,2023-07-20,67.0,8.1,2023-04-13,3.7,2023-07-19,-7.64,-57.81,50.17,7.7,-12.2,3.75,-57.24
VINNY,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,3.1767,SUCCESS,3.65,2.9,2023-10-12,2024-01-20,70.0,4.6,2024-01-08,3.05,2023-10-27,44.81,-3.99,48.79,4.55,43.23,3.2,0.73
VINNY,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,4.2433,SUCCESS,4.6,3.9,2024-04-13,2024-07-20,66.0,5.0,2024-05-06,3.8,2024-04-16,17.83,-10.45,28.28,4.8,13.12,3.9,-8.09
VINNY,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,3.0633,SUCCESS,4.27,2.07,2024-10-12,2025-01-20,68.0,2.25,2024-10-21,1.57,2025-01-14,-26.55,-48.75,22.2,2.18,-28.84,1.65,-46.14
VINNY,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,1.262,SUCCESS,1.4,1.2,2025-04-12,2025-07-20,67.0,1.64,2025-05-16,1.28,2025-04-15,29.95,1.43,28.53,1.62,28.37,1.28,1.43
VINNY,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,1.2713,SUCCESS,1.38,1.22,2025-10-14,2026-01-20,67.0,1.53,2025-12-11,1.15,2026-01-19,20.35,-9.54,29.89,1.41,10.91,1.17,-7.97
VINNY,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,1.0947,SUCCESS,1.25,0.95,2026-04-16,2026-07-20,65.0,1.38,2026-05-05,0.94,2026-05-12,26.07,-14.13,40.19,1.22,11.45,1.05,-4.08
VINNY,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
