Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
VIPCLOTHNG,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,10.3413,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VIPCLOTHNG,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,10.3413,SUCCESS,11.48,9.14,2009-01-17,2009-01-20,2.0,9.83,2009-01-19,9.22,2009-01-20,-4.94,-10.84,5.9,9.83,-4.94,9.79,-5.33
VIPCLOTHNG,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,8.188,SUCCESS,11.88,7.05,2009-04-16,2009-07-20,66.0,19.01,2009-06-04,9.66,2009-05-14,132.17,17.98,114.19,18.44,125.21,10.44,27.5
VIPCLOTHNG,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,17.8067,SUCCESS,21.27,15.27,2009-10-16,2010-01-20,65.0,21.49,2009-12-08,13.75,2009-10-29,20.69,-22.78,43.47,20.71,16.3,14.53,-18.4
VIPCLOTHNG,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,17.3507,SUCCESS,19.75,16.1,2010-04-14,2010-07-20,69.0,19.97,2010-05-03,15.23,2010-06-14,15.1,-12.22,27.32,19.14,10.31,15.57,-10.26
VIPCLOTHNG,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,23.274,SUCCESS,26.27,22.1,2010-10-09,2011-01-20,72.0,24.27,2010-10-12,13.09,2010-12-10,4.28,-43.76,48.04,23.27,-0.02,15.05,-35.34
VIPCLOTHNG,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,16.856,SUCCESS,19.23,14.83,2011-04-09,2011-07-20,70.0,20.71,2011-04-29,14.49,2011-05-20,22.86,-14.04,36.9,19.53,15.86,14.96,-11.25
VIPCLOTHNG,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,23.9593,SUCCESS,26.8,21.27,2011-10-12,2012-01-20,70.0,28.71,2011-11-09,17.97,2011-12-30,19.83,-25.0,44.83,27.97,16.74,18.27,-23.75
VIPCLOTHNG,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,17.8093,SUCCESS,19.92,16.14,2012-04-12,2012-07-20,72.0,21.27,2012-04-19,16.27,2012-06-04,19.43,-8.64,28.08,20.49,15.05,16.53,-7.18
VIPCLOTHNG,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,17.3267,SUCCESS,18.97,16.53,2012-10-12,2013-01-20,67.0,25.32,2012-11-05,16.97,2012-10-15,46.13,-2.06,48.19,24.32,40.36,17.1,-1.31
VIPCLOTHNG,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,13.2433,SUCCESS,14.79,11.01,2013-04-12,2013-07-20,69.0,14.36,2013-04-12,8.0,2013-06-25,8.43,-39.59,48.02,13.27,0.2,8.18,-38.23
VIPCLOTHNG,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,12.6133,SUCCESS,14.05,11.31,2013-10-12,2014-01-20,68.0,17.1,2013-11-11,11.75,2013-10-15,35.57,-6.84,42.42,16.44,30.34,12.27,-2.72
VIPCLOTHNG,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,12.934,SUCCESS,13.53,11.53,2014-04-10,2014-07-20,44.0,20.79,2014-04-28,13.14,2014-04-10,60.74,1.59,59.15,20.14,55.71,13.18,1.9
VIPCLOTHNG,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,50.4113,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VIPCLOTHNG,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,50.4113,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VIPCLOTHNG,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,50.4113,SUCCESS,57.42,44.07,2016-01-16,2016-01-20,3.0,45.24,2016-01-18,38.72,2016-01-18,-10.26,-23.19,12.93,44.07,-12.58,39.8,-21.05
VIPCLOTHNG,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,39.774,SUCCESS,45.11,36.71,2016-04-13,2016-07-20,67.0,64.21,2016-06-27,42.59,2016-05-31,61.44,7.08,54.36,61.9,55.63,42.85,7.73
VIPCLOTHNG,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,55.4513,SUCCESS,61.51,48.07,2016-10-11,2017-01-20,71.0,58.73,2016-10-21,36.71,2016-11-22,5.91,-33.8,39.71,56.99,2.77,37.58,-32.23
VIPCLOTHNG,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,46.0547,SUCCESS,52.64,43.33,2017-04-11,2017-07-20,70.0,63.9,2017-07-05,45.59,2017-04-18,38.75,-1.01,39.76,62.47,35.64,46.2,0.32
VIPCLOTHNG,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,50.046,SUCCESS,54.77,46.68,2017-10-12,2018-01-20,70.0,101.2,2018-01-08,48.33,2017-10-18,102.21,-3.43,105.64,98.05,95.92,48.81,-2.47
VIPCLOTHNG,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,59.8967,SUCCESS,68.7,53.15,2018-04-12,2018-07-20,71.0,75.5,2018-04-27,47.55,2018-06-06,26.05,-20.61,46.66,72.3,20.71,49.45,-17.44
VIPCLOTHNG,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,39.8033,SUCCESS,51.55,34.05,2018-10-13,2019-01-20,66.0,45.2,2018-10-16,25.55,2018-12-06,13.56,-35.81,49.37,43.35,8.91,26.65,-33.05
VIPCLOTHNG,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,20.7233,SUCCESS,22.0,19.05,2019-04-11,2019-07-20,67.0,21.2,2019-04-11,10.55,2019-06-20,2.3,-49.09,51.39,20.5,-1.08,11.7,-43.54
VIPCLOTHNG,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,8.8667,SUCCESS,12.0,6.3,2019-10-15,2020-01-20,67.0,9.2,2019-12-06,5.95,2019-10-17,3.76,-32.89,36.65,8.95,0.94,6.0,-32.33
VIPCLOTHNG,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,4.3267,SUCCESS,5.6,3.4,2020-04-16,2020-07-20,66.0,10.15,2020-06-30,5.25,2020-05-08,134.59,21.34,113.25,9.75,125.35,5.35,23.65
VIPCLOTHNG,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,9.5433,SUCCESS,10.6,8.55,2020-10-13,2021-01-20,69.0,18.3,2021-01-11,8.3,2020-11-11,91.76,-13.03,104.79,17.45,82.85,8.5,-10.93
VIPCLOTHNG,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,13.6033,SUCCESS,14.7,12.65,2021-04-14,2021-07-20,66.0,22.1,2021-07-20,11.6,2021-04-22,62.46,-14.73,77.19,22.0,61.73,11.95,-12.15
VIPCLOTHNG,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,17.9467,SUCCESS,19.1,16.3,2021-10-09,2022-01-20,71.0,29.95,2022-01-20,16.05,2021-10-25,66.88,-10.57,77.45,29.95,66.88,16.3,-9.18
VIPCLOTHNG,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,25.3467,SUCCESS,28.7,23.2,2022-04-09,2022-07-20,70.0,33.95,2022-04-19,20.6,2022-06-21,33.94,-18.73,52.67,32.75,29.21,20.9,-17.54
VIPCLOTHNG,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,35.8167,SUCCESS,40.65,32.5,2022-10-12,2023-01-20,71.0,57.65,2022-12-14,34.6,2022-11-03,60.96,-3.4,64.36,54.95,53.42,35.05,-2.14
VIPCLOTHNG,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,40.6033,SUCCESS,44.8,37.35,2023-04-13,2023-07-20,68.0,52.85,2023-06-19,42.5,2023-04-17,30.16,4.67,25.49,51.9,27.82,43.05,6.03
VIPCLOTHNG,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,51.6267,SUCCESS,59.4,44.55,2023-10-12,2024-01-20,70.0,59.7,2023-10-12,44.2,2023-10-26,15.64,-14.39,30.02,57.95,12.25,44.85,-13.13
VIPCLOTHNG,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,36.77,SUCCESS,39.65,33.1,2024-04-13,2024-07-20,66.0,52.4,2024-07-15,28.6,2024-06-04,42.51,-22.22,64.73,51.32,39.57,29.9,-18.68
VIPCLOTHNG,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,44.7633,SUCCESS,48.71,40.4,2024-10-12,2025-01-20,68.0,53.2,2024-12-12,35.52,2024-11-14,18.85,-20.65,39.5,52.0,16.17,37.34,-16.58
VIPCLOTHNG,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,31.6047,SUCCESS,39.0,28.0,2025-04-12,2025-07-20,67.0,45.1,2025-05-26,33.08,2025-05-09,42.7,4.67,38.03,43.29,36.97,34.83,10.21
VIPCLOTHNG,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,35.6207,SUCCESS,41.2,33.5,2025-10-14,2026-01-20,67.0,37.55,2025-12-05,27.01,2026-01-20,5.42,-24.17,29.59,36.0,1.06,28.14,-21.0
VIPCLOTHNG,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,19.7267,SUCCESS,25.07,14.05,2026-04-16,2026-07-20,65.0,28.0,2026-05-15,20.01,2026-05-04,41.94,1.44,40.5,27.25,38.14,21.48,8.89
VIPCLOTHNG,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
