Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
VLSFINANCE,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,5.6633,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VLSFINANCE,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,5.6633,SUCCESS,6.45,4.7,2002-01-16,2002-01-20,3.0,7.0,2002-01-18,5.5,2002-01-16,23.6,-2.88,26.49,6.5,14.77,5.55,-2.0
VLSFINANCE,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,5.8033,SUCCESS,6.4,5.55,2002-04-12,2002-07-20,53.0,8.25,2002-06-18,5.05,2002-05-21,42.16,-12.98,55.14,7.85,35.27,5.15,-11.26
VLSFINANCE,2002,20-September,2002-09-20,2004-03-04,2004-03-04,2004-03-24,15.0,4.6,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VLSFINANCE,2003,20-March,2003-03-20,2004-03-04,2004-03-04,2004-03-24,15.0,4.6,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VLSFINANCE,2003,20-September,2003-09-20,2004-03-04,2004-03-04,2004-03-24,15.0,4.6,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VLSFINANCE,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,4.16,SUCCESS,4.95,3.5,2004-04-13,2004-07-20,68.0,5.1,2004-05-10,3.05,2004-07-05,22.6,-26.68,49.28,5.0,20.19,3.1,-25.48
VLSFINANCE,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,5.4533,SUCCESS,6.8,4.6,2004-10-09,2005-01-20,71.0,14.15,2004-12-15,5.0,2004-10-18,159.47,-8.31,167.79,12.85,135.64,5.05,-7.4
VLSFINANCE,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,14.0,SUCCESS,16.85,12.05,2005-04-12,2005-07-20,72.0,20.95,2005-07-20,12.4,2005-05-02,49.64,-11.43,61.07,20.95,49.64,12.6,-10.0
VLSFINANCE,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,20.3267,SUCCESS,25.0,18.0,2005-10-11,2006-01-20,70.0,25.5,2005-12-29,12.55,2005-10-21,25.45,-38.26,63.71,23.05,13.4,13.55,-33.34
VLSFINANCE,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,20.2533,SUCCESS,23.25,18.5,2006-04-11,2006-07-20,72.0,37.4,2006-05-02,11.75,2006-07-20,84.66,-41.98,126.65,34.7,71.33,11.8,-41.74
VLSFINANCE,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,14.8133,SUCCESS,19.45,13.15,2006-10-12,2007-01-20,69.0,21.1,2006-12-11,13.5,2006-11-20,42.44,-8.87,51.31,19.45,31.3,13.75,-7.18
VLSFINANCE,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,16.4133,SUCCESS,19.25,14.0,2007-04-12,2007-07-20,45.0,22.8,2007-06-05,16.4,2007-05-25,38.91,-0.08,38.99,21.55,31.3,16.7,1.75
VLSFINANCE,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,8.7733,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VLSFINANCE,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,8.7733,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
VLSFINANCE,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,8.7733,SUCCESS,10.95,6.75,2009-01-17,2009-01-20,2.0,7.35,2009-01-19,6.2,2009-01-20,-16.22,-29.33,13.11,7.2,-17.93,7.0,-20.21
VLSFINANCE,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,6.8033,SUCCESS,9.8,5.25,2009-04-16,2009-07-20,65.0,17.8,2009-06-08,7.4,2009-05-14,161.64,8.77,152.87,16.95,149.14,7.6,11.71
VLSFINANCE,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,14.18,SUCCESS,16.1,12.8,2009-10-16,2010-01-20,65.0,16.6,2010-01-12,10.6,2009-11-04,17.07,-25.25,42.31,15.75,11.07,11.0,-22.43
VLSFINANCE,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,12.74,SUCCESS,14.35,11.1,2010-04-14,2010-07-20,69.0,16.25,2010-05-04,11.5,2010-05-25,27.55,-9.73,37.28,14.75,15.78,11.8,-7.38
