Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
WSTCSTPAPR,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,8.9867,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
WSTCSTPAPR,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,8.9867,SUCCESS,9.4,8.6,2002-01-16,2002-01-20,3.0,9.26,2002-01-16,8.65,2002-01-18,3.04,-3.75,6.79,9.26,3.04,8.81,-1.97
WSTCSTPAPR,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-12,15.0,9.848,SUCCESS,11.9,9.42,2002-04-13,2002-07-20,69.0,22.95,2002-07-12,10.0,2002-04-29,133.04,1.54,131.5,22.32,126.65,10.21,3.68
WSTCSTPAPR,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,17.666,SUCCESS,18.73,16.8,2002-10-12,2003-01-20,66.0,20.1,2002-11-05,15.6,2002-10-30,13.78,-11.69,25.47,19.25,8.97,17.57,-0.54
WSTCSTPAPR,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-09,15.0,17.924,SUCCESS,19.2,17.1,2003-04-10,2003-07-20,69.0,35.2,2003-07-03,18.6,2003-04-10,96.38,3.77,92.61,34.43,92.09,18.63,3.94
WSTCSTPAPR,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,40.58,SUCCESS,48.8,33.64,2003-10-14,2004-01-20,71.0,51.2,2003-10-24,39.99,2003-11-21,26.17,-1.45,27.62,49.68,22.42,40.2,-0.94
WSTCSTPAPR,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,34.1033,SUCCESS,38.8,30.82,2004-04-13,2004-07-20,69.0,45.2,2004-05-06,32.0,2004-07-16,32.54,-6.17,38.71,44.95,31.81,32.86,-3.65
WSTCSTPAPR,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,37.1267,SUCCESS,39.12,35.67,2004-10-09,2005-01-20,71.0,47.8,2005-01-03,34.02,2004-12-13,28.75,-8.37,37.12,45.33,22.1,34.55,-6.94
WSTCSTPAPR,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,39.2273,SUCCESS,42.36,35.6,2005-04-12,2005-07-20,72.0,57.4,2005-07-19,38.22,2005-04-18,46.33,-2.57,48.89,56.76,44.7,39.0,-0.58
WSTCSTPAPR,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,71.862,SUCCESS,88.4,60.42,2005-10-11,2006-01-20,70.0,73.6,2006-01-10,60.11,2006-01-12,2.42,-16.35,18.77,71.84,-0.03,60.57,-15.71
