Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
ZENITHSTL,2007,20-March,2007-03-20,2007-04-30,2007-04-30,2007-05-22,15.0,28.9747,SUCCESS,32.83,25.0,2007-05-23,2007-07-20,18.0,32.5,2007-05-23,26.67,2007-06-01,12.17,-7.95,20.12,31.71,9.44,27.58,-4.81
ZENITHSTL,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,11.3007,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ZENITHSTL,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,11.3007,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ZENITHSTL,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,11.3007,SUCCESS,13.17,10.37,2009-01-17,2009-01-20,2.0,11.04,2009-01-20,10.42,2009-01-19,-2.31,-7.79,5.49,10.83,-4.16,10.58,-6.38
ZENITHSTL,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,11.46,SUCCESS,16.87,8.87,2009-04-16,2009-07-20,65.0,24.92,2009-06-15,11.83,2009-04-24,117.45,3.23,114.22,22.25,94.15,12.29,7.24
ZENITHSTL,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,19.5927,SUCCESS,21.21,18.5,2009-10-16,2010-01-20,65.0,26.67,2010-01-08,15.92,2009-11-04,36.12,-18.75,54.87,23.62,20.56,16.21,-17.26
ZENITHSTL,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,16.8707,SUCCESS,19.75,15.42,2010-04-14,2010-07-20,69.0,27.83,2010-06-28,14.92,2010-04-20,64.96,-11.56,76.52,25.42,50.68,17.54,3.97
ZENITHSTL,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,15.49,SUCCESS,18.0,14.9,2010-10-09,2011-01-20,72.0,15.15,2010-10-11,8.3,2010-12-10,-2.19,-46.42,44.22,14.15,-8.65,8.7,-43.83
ZENITHSTL,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,9.3967,SUCCESS,11.1,8.9,2011-04-09,2011-07-20,70.0,10.9,2011-04-21,6.35,2011-06-29,16.0,-32.42,48.42,10.05,6.95,6.5,-30.83
ZENITHSTL,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,4.7533,SUCCESS,5.4,4.45,2011-10-12,2012-01-20,70.0,5.2,2011-10-18,3.3,2011-12-21,9.4,-30.58,39.97,4.9,3.09,3.35,-29.52
ZENITHSTL,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,4.34,SUCCESS,5.0,4.0,2012-04-12,2012-07-20,72.0,4.75,2012-04-20,3.55,2012-06-01,9.45,-18.2,27.65,4.5,3.69,3.65,-15.9
ZENITHSTL,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,3.04,SUCCESS,3.5,2.95,2012-10-12,2013-01-20,67.0,3.35,2012-10-17,2.45,2012-11-12,10.2,-19.41,29.61,3.05,0.33,2.5,-17.76
ZENITHSTL,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,0.94,SUCCESS,1.1,0.85,2013-04-12,2013-07-20,69.0,1.15,2013-07-11,0.75,2013-04-22,22.34,-20.21,42.55,1.15,22.34,0.75,-20.21
ZENITHSTL,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,1.5933,SUCCESS,2.0,1.2,2013-10-12,2014-01-20,68.0,2.15,2013-10-15,0.85,2014-01-15,34.94,-46.65,81.59,2.15,34.94,0.9,-43.51
ZENITHSTL,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,1.0233,SUCCESS,1.3,0.9,2014-04-10,2014-07-20,44.0,2.2,2014-06-12,1.0,2014-04-25,114.98,-2.28,117.26,2.1,105.21,1.05,2.61
