Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
ZYDUSLIFE,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,8.438,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ZYDUSLIFE,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,8.438,SUCCESS,8.78,7.85,2002-01-16,2002-01-20,3.0,8.64,2002-01-16,8.18,2002-01-16,2.39,-3.06,5.45,8.46,0.26,8.39,-0.57
ZYDUSLIFE,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,8.7493,SUCCESS,9.74,8.16,2002-04-12,2002-07-20,70.0,9.57,2002-04-12,8.2,2002-05-29,9.38,-6.28,15.66,9.44,7.89,8.54,-2.39
ZYDUSLIFE,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,7.6073,SUCCESS,7.9,7.33,2002-10-12,2003-01-20,67.0,8.75,2003-01-20,7.0,2002-11-28,15.02,-7.98,23.0,8.56,12.52,7.33,-3.65
ZYDUSLIFE,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,8.088,SUCCESS,8.36,7.83,2003-04-09,2003-07-20,70.0,13.66,2003-07-15,7.26,2003-05-13,68.89,-10.24,79.13,13.13,62.34,7.66,-5.29
ZYDUSLIFE,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,21.3947,SUCCESS,22.99,18.49,2003-10-14,2004-01-20,71.0,27.79,2003-12-17,19.17,2003-10-24,29.89,-10.4,40.29,27.13,26.81,19.79,-7.5
ZYDUSLIFE,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,31.4647,SUCCESS,35.71,29.37,2004-04-13,2004-07-20,70.0,37.68,2004-04-23,25.75,2004-05-13,19.75,-18.16,37.92,36.51,16.03,26.11,-17.02
ZYDUSLIFE,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,34.866,SUCCESS,36.81,32.42,2004-10-09,2005-01-20,71.0,41.84,2004-12-29,32.27,2004-10-18,20.0,-7.45,27.45,39.38,12.95,32.43,-6.99
ZYDUSLIFE,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,31.5887,SUCCESS,33.92,29.7,2005-04-12,2005-07-20,72.0,37.16,2005-07-12,27.93,2005-04-18,17.64,-11.58,29.22,36.47,15.45,28.59,-9.49
ZYDUSLIFE,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,35.0873,SUCCESS,36.63,34.06,2005-10-11,2006-01-20,70.0,35.64,2006-01-17,28.71,2005-10-31,1.58,-18.18,19.75,34.32,-2.19,29.48,-15.98
ZYDUSLIFE,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,43.8413,SUCCESS,48.51,39.07,2006-04-11,2006-07-20,72.0,52.8,2006-04-29,29.77,2006-06-09,20.43,-32.1,52.53,51.36,17.15,30.81,-29.72
ZYDUSLIFE,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,42.5827,SUCCESS,45.36,41.45,2006-10-12,2007-01-20,69.0,50.82,2006-11-07,39.73,2006-12-13,19.34,-6.7,26.04,48.79,14.58,41.25,-3.13
ZYDUSLIFE,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,44.336,SUCCESS,46.86,42.11,2007-04-12,2007-07-20,45.0,46.44,2007-04-17,40.92,2007-05-31,4.75,-7.7,12.45,45.79,3.28,41.83,-5.65
ZYDUSLIFE,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,35.178,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ZYDUSLIFE,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,35.178,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ZYDUSLIFE,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,35.178,SUCCESS,38.54,33.26,2009-01-17,2009-01-20,2.0,34.97,2009-01-19,32.08,2009-01-20,-0.59,-8.81,8.22,33.64,-4.37,33.41,-5.03
ZYDUSLIFE,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,35.5053,SUCCESS,39.86,32.97,2009-04-16,2009-07-20,65.0,53.04,2009-06-29,37.62,2009-04-16,49.39,5.96,43.43,52.53,47.95,38.52,8.49
ZYDUSLIFE,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,67.8447,SUCCESS,73.82,61.01,2009-10-16,2010-01-20,65.0,94.75,2010-01-11,66.73,2009-10-17,39.66,-1.64,41.3,91.23,34.47,71.42,5.27
