Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
ZYDUSWELL,2009,20-March,2009-03-20,2009-11-13,2009-11-13,2009-12-03,15.0,45.128,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ZYDUSWELL,2009,20-September,2009-09-20,2009-11-13,2009-11-13,2009-12-03,15.0,45.128,SUCCESS,60.4,39.02,2009-12-04,2010-01-20,31.0,57.38,2009-12-10,50.31,2009-12-29,27.15,11.48,15.67,55.29,22.52,51.19,13.43
ZYDUSWELL,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,79.258,SUCCESS,84.94,70.0,2010-04-14,2010-07-20,69.0,114.78,2010-07-16,73.6,2010-05-05,44.82,-7.14,51.96,106.37,34.21,74.84,-5.57
ZYDUSWELL,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,118.9453,SUCCESS,124.4,112.51,2010-10-09,2011-01-20,72.0,132.34,2011-01-04,103.9,2010-11-26,11.26,-12.65,23.91,124.34,4.54,106.3,-10.63
ZYDUSWELL,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,116.43,SUCCESS,124.4,112.5,2011-04-09,2011-07-20,70.0,151.96,2011-07-14,104.0,2011-05-18,30.52,-10.68,41.19,147.53,26.71,109.22,-6.19
ZYDUSWELL,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,109.954,SUCCESS,119.6,103.63,2011-10-12,2012-01-20,70.0,127.4,2011-11-04,74.6,2011-11-22,15.87,-32.15,48.02,119.38,8.57,75.07,-31.73
ZYDUSWELL,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,75.1333,SUCCESS,81.74,66.62,2012-04-12,2012-07-20,72.0,93.75,2012-07-16,59.8,2012-05-18,24.78,-20.41,45.19,90.97,21.08,67.3,-10.43
ZYDUSWELL,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,82.7587,SUCCESS,87.09,79.2,2012-10-12,2013-01-20,67.0,109.72,2012-12-24,85.73,2012-10-12,32.58,3.59,28.99,104.22,25.93,87.21,5.38
ZYDUSWELL,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,87.0693,SUCCESS,92.0,83.4,2013-04-12,2013-07-20,69.0,151.0,2013-06-17,84.8,2013-04-29,73.43,-2.61,76.03,145.25,66.82,85.62,-1.66
ZYDUSWELL,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,108.1327,SUCCESS,118.16,102.8,2013-10-12,2014-01-20,68.0,123.4,2013-10-30,103.75,2013-12-13,14.12,-4.05,18.17,119.4,10.42,106.15,-1.83
